"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"204 Clonmoyle, Co. Cork",526,544,285,259,18,3.4
 ,"205 Doire Fhínín, Co. Cork",251,244,133,111,-7,-2.8
 ,"206 Gort na Tiobratan, Co. Cork",450,451,225,226,1,0.2
 ,"207 Gowlane, Co. Cork",1175,1180,617,563,5,0.4
 ,"208 Greenville, Co. Cork",264,283,133,150,19,7.2
 ,"209 Inchigeelagh, Co. Cork",538,533,264,269,-5,-0.9
 ,"210 Kilberrihert, Co. Cork",651,709,374,335,58,8.9
 ,"211 Kilcullen, Co. Cork",792,842,443,399,50,6.3
 ,"212 Cill na Martra, Co. Cork",652,672,354,318,20,3.1
 ,"213 Macloneigh, Co. Cork",825,867,417,450,42,5.1
 ,"214 Magourney, Co. Cork",1065,1043,504,539,-22,-2.1
 ,"215 Mashanaglass, Co. Cork",445,447,245,202,2,0.4
 ,"216 Mountrivers, Co. Cork",662,684,349,335,22,3.3
 ,"217 Rahalisk, Co. Cork",550,571,295,276,21,3.8
 ,"218 An Sliabh Riabhach, Co. Cork",833,853,440,413,20,2.4
 ,"219 Na hUláin, Co. Cork",632,600,301,299,-32,-5.1
 ,"220 Warrenscourt, Co. Cork",775,738,401,337,-37,-4.8
 ,"Mallow rural area, Co. Cork",24765,26122,13039,13083,1357,5.5
 ,"221 Ardskeagh, Co. Cork",418,429,220,209,11,2.6
 ,"222 Ballyclogh, Co. Cork",681,702,351,351,21,3.1
 ,"223 Ballynamona, Co. Cork",971,990,510,480,19,2
 ,"224 Buttevant, Co. Cork",1706,1752,883,869,46,2.7
 ,"225 Caherduggan, Co. Cork",540,618,295,323,78,14.4
 ,"226 Carrig, Co. Cork",238,244,108,136,6,2.5
 ,"227 Churchtown, Co. Cork",1079,1169,552,617,90,8.3
 ,"228 Clenor, Co. Cork",328,333,181,152,5,1.5
 ,"229 Doneraile, Co. Cork",1390,1407,696,711,17,1.2
 ,"230 Dromore, Co. Cork",2518,2707,1321,1386,189,7.5
 ,"231 Imphrick, Co. Cork",311,346,170,176,35,11.3
 ,"232 Kilmaclenine, Co. Cork",744,727,356,371,-17,-2.3
 ,"233 Kilshannig, Co. Cork",1076,1080,567,513,4,0.4
 ,"234 Liscarroll, Co. Cork",574,589,301,288,15,2.6
 ,"235 Mallow Rural, Co. Cork",4026,4604,2272,2332,578,14.4
 ,"236 Milltown, Co. Cork",374,377,209,168,3,0.8
 ,"237 Monanimy, Co. Cork",761,814,411,403,53,7
 ,"238 Rahan, Co. Cork",916,885,454,431,-31,-3.4
 ,"239 Rathluirc, Co. Cork",4004,4254,2110,2144,250,6.2
 ,"240 Shanballymore, Co. Cork",623,631,335,296,8,1.3
 ,"241 Skahanagh, Co. Cork",143,162,85,77,19,13.3
 ,"242 Springfort, Co. Cork",606,619,314,305,13,2.1
 ,"243 Streamhill, Co. Cork",123,94,47,47,-29,-23.6
 ,"244 Templemary, Co. Cork",344,324,160,164,-20,-5.8
 ,"245 Wallstown, Co. Cork",271,265,131,134,-6,-2.2
 ,"Midleton rural area, Co. Cork",33040,36070,17770,18300,3030,9.2
 ,"246 Ballintemple, Co. Cork",537,544,281,263,7,1.3
 ,"247 Ballycottin, Co. Cork",1487,1705,832,873,218,14.7
 ,"248 Ballyspillane, Co. Cork",316,353,172,181,37,11.7
 ,"249 Carrigtohill, Co. Cork",6665,7333,3641,3692,668,10
 ,"250 Castlemartyr, Co. Cork",919,1012,492,520,93,10.1
 ,"251 Clonmult, Co. Cork",196,213,122,91,17,8.7
 ,"252 Cloyne, Co. Cork",3859,4382,2173,2209,523,13.6
 ,"253 Corkbeg, Co. Cork",2571,2605,1244,1361,34,1.3
 ,"254 Dangan, Co. Cork",253,265,152,113,12,4.7
 ,"255 Dungourney, Co. Cork",664,752,387,365,88,13.3
 ,"256 Garryvoe, Co. Cork",622,623,296,327,1,0.2
 ,"257 Ightermurragh, Co. Cork",2340,2777,1317,1460,437,18.7
 ,"258 Inch, Co. Cork",467,530,277,253,63,13.5
 ,"259 Lisgoold, Co. Cork",949,999,487,512,50,5.3
 ,"260 Midleton Rural, Co. Cork",8316,8916,4367,4549,600,7.2
 ,"261 Mogeely, Co. Cork",592,604,282,322,12,2
 ,"262 Rostellan, Co. Cork",1141,1242,621,621,101,8.9
 ,"263 Templebodan, Co. Cork",574,624,328,296,50,8.7
 ,"264 Templenacarriga, Co. Cork",572,591,299,292,19,3.3
 ,"Millstreet rural area, Co. Cork",6935,6893,3491,3402,-42,-0.6
 ,"265 Caherbarnagh, Co. Cork",520,511,269,242,-9,-1.7
 ,"266 Coomlogane, Co. Cork",903,907,465,442,4,0.4
 ,"267 Crinnaloo, Co. Cork",204,204,106,98,0,0
 ,"268 Cullen, Co. Cork",429,422,204,218,-7,-1.6
 ,"269 Derragh, Co. Cork",213,215,109,106,2,0.9
 ,"270 Doonasleen, Co. Cork",489,468,236,232,-21,-4.3
 ,"271 Drishane, Co. Cork",2001,1957,982,975,-44,-2.2
 ,"272 Keale, Co. Cork",341,350,187,163,9,2.6
 ,"273 Kilcorney, Co. Cork",313,335,179,156,22,7
 ,"274 Knocknagree, Co. Cork",601,596,298,298,-5,-0.8
 ,"275 Rathcool, Co. Cork",542,554,262,292,12,2.2
 ,"276 Skagh, Co. Cork",379,374,194,180,-5,-1.3
 ,"Mitchelstown No. 1 rural area, Co. Cork",8256,8482,4250,4232,226,2.7
 ,"277 Ballyarthur, Co. Cork",304,308,160,148,4,1.3
 ,"278 Derryvillane, Co. Cork",458,490,251,239,32,7
 ,"279 Farahy, Co. Cork",458,456,224,232,-2,-0.4
 ,"280 Kildorrery, Co. Cork",632,735,365,370,103,16.3
 ,"281 Kilgullane, Co. Cork",135,151,79,72,16,11.9
 ,"282 Kilphelan, Co. Cork",531,515,254,261,-16,-3
 ,"283 Marshalstown, Co. Cork",384,385,205,180,1,0.3
 ,"284 Mitchelstown, Co. Cork",5059,5134,2538,2596,75,1.5
 ,"285 Templemolaga, Co. Cork",295,308,174,134,13,4.4
 ,"Skibbereen rural area, Co. Cork",11543,11513,5894,5619,-30,-0.3
 ,"286 Aghadown North, Co. Cork",287,289,141,148,2,0.7
 ,"287 Aghadown South, Co. Cork",569,574,297,277,5,0.9
 ,"288 Bredagh, Co. Cork",602,579,302,277,-23,-3.8
 ,"289 Caheragh, Co. Cork",327,294,151,143,-33,-10.1
 ,"290 Cléire, Co. Cork",332,341,175,166,9,2.7
 ,"291 Carrigbaun, Co. Cork",362,328,184,144,-34,-9.4
 ,"292 Castlehaven North, Co. Cork",793,806,404,402,13,1.6
 ,"293 Castlehaven South, Co. Cork",450,498,253,245,48,10.7
 ,"294 Cloghdonnell, Co. Cork",346,354,182,172,8,2.3
 ,"295 Cloonkeen, Co. Cork",380,348,185,163,-32,-8.4
 ,"296 Drinagh, Co. Cork",370,351,186,165,-19,-5.1
 ,"297 Dromdaleague North, Co. Cork",294,294,164,130,0,0
 ,"298 Dromdaleague South, Co. Cork",622,633,315,318,11,1.8
 ,"299 Garranes, Co. Cork",357,346,181,165,-11,-3.1
 ,"300 Gortnascreeny, Co. Cork",483,505,266,239,22,4.6
 ,"301 Kilfaughnabeg, Co. Cork",536,540,265,275,4,0.7
 ,"302 Killeenleagh, Co. Cork",368,364,181,183,-4,-1.1
 ,"303 Knockskagh, Co. Cork",545,535,266,269,-10,-1.8
 ,"304 Myross, Co. Cork",735,752,400,352,17,2.3
 ,"305 Shreelane, Co. Cork",365,397,204,193,32,8.8
 ,"306 Skibbereen Rural, Co. Cork",1252,1294,639,655,42,3.4
 ,"307 Tullagh, Co. Cork",791,730,356,374,-61,-7.7
 ,"308 Woodfort, Co. Cork",377,361,197,164,-16,-4.2
 ,"Skull rural area, Co. Cork",4114,4077,2031,2046,-37,-0.9
 ,"309 Ballybane, Co. Cork",303,267,139,128,-36,-11.9
 ,"310 Ballydehob, Co. Cork",835,844,403,441,9,1.1
 ,"311 Coolagh, Co. Cork",205,192,92,100,-13,-6.3
 ,"312 Crookhaven, Co. Cork",230,228,120,108,-2,-0.9
 ,"313 Dunbeacon, Co. Cork",199,174,87,87,-25,-12.6
 ,"314 Dunmanus, Co. Cork",238,237,119,118,-1,-0.4
 ,"315 Goleen, Co. Cork",256,228,121,107,-28,-10.9
 ,"316 Kilcoe, Co. Cork",431,438,219,219,7,1.6
 ,"317 Lowertown, Co. Cork",247,231,120,111,-16,-6.5
 ,"318 Skull, Co. Cork",987,1056,519,537,69,7
 ,"319 Toormore, Co. Cork",183,182,92,90,-1,-0.5
 ,"Youghal No. 1 rural area, Co. Cork",5301,5667,2790,2877,366,6.9
 ,"320 Ardagh, Co. Cork",649,667,324,343,18,2.8
 ,"321 Clonpriest, Co. Cork",1060,1072,529,543,12,1.1
 ,"322 Kilcronat, Co. Cork",174,181,92,89,7,4
 ,"323 Killeagh, Co. Cork",1330,1560,747,813,230,17.3
 ,"324 Kilmacdonogh, Co. Cork",886,923,472,451,37,4.2
 ,"325 Youghal Rural (Part Rural), Co. Cork",1202,1264,626,638,62,5.2
 ,Kerry,145502,147554,73039,74515,2052,1.4
 ,"Killarney Town, Co. Kerry",12744,14017,6684,7333,1273,10
 ,"001 Killarney Urban, Co. Kerry",9663,10627,5101,5526,964,10
 ,"082 Killarney Rural (Part Urban), Co. Kerry",2876,3139,1451,1688,263,9.1
 ,"090 Muckross (Part Urban), Co. Kerry",205,251,132,119,46,22.4
 ,"Listowel Town, Co. Kerry",4205,4267,2023,2244,62,1.5
 ,"002 Listowel Urban, Co. Kerry",4205,4267,2023,2244,62,1.5
 ,"Tralee Town, Co. Kerry",20764,20869,10043,10826,105,0.5
 ,"003 Tralee Urban, Co. Kerry",4885,5101,2567,2534,216,4.4
 ,"138 Blennerville (Part Urban), Co. Kerry",141,136,66,70,-5,-3.5
 ,"165 Tralee Rural (Part Urban), Co. Kerry",15738,15632,7410,8222,-106,-0.7
 ,"Cahersiveen Rural area, Co. Kerry",8802,8653,4369,4284,-149,-1.7
 ,"004 Na Beathacha, Co. Kerry",199,199,108,91,0,0
 ,"005 Baile an Sceilg, Co. Kerry",375,390,194,196,15,4
 ,"006 An Baile Breac, Co. Kerry",93,84,42,42,-9,-9.7
 ,"007 Caher, Co. Kerry",2012,1824,901,923,-188,-9.3
 ,"008 Cathair Dónall, Co. Kerry",312,316,163,153,4,1.3
 ,"009 Ceannúigh, Co. Kerry",172,141,68,73,-31,-18
 ,"010 Castlequin, Co. Kerry",585,598,295,303,13,2.2
 ,"011 Cloon, Co. Kerry",72,61,26,35,-11,-15.3
 ,"012 Curraghbeg, Co. Kerry",171,170,84,86,-1,-0.6
 ,"013 Doire Fhíonáin, Co. Kerry",189,178,86,92,-11,-5.8
 ,"014 Doire Ianna, Co. Kerry",210,190,100,90,-20,-9.5
 ,"015 An tImleach, Co. Kerry",926,875,434,441,-51,-5.5
 ,"016 Glanbehy, Co. Kerry",1037,1086,549,537,49,4.7
 ,"017 Killinane, Co. Kerry",255,256,130,126,1,0.4
 ,"018 Lickeen, Co. Kerry",106,111,58,53,5,4.7
 ,"019 Loch Luíoch, Co. Kerry",269,315,165,150,46,17.1
 ,"020 Máistir Gaoithe, Co. Kerry",61,73,42,31,12,19.7
 ,"021 Maum, Co. Kerry",270,274,135,139,4,1.5
 ,"022 Portmagee, Co. Kerry",390,414,207,207,24,6.2
 ,"023 Toghroinn Fhíonáin, Co. Kerry",161,164,88,76,3,1.9
 ,"024 Teeranearagh, Co. Kerry",272,280,160,120,8,2.9
 ,"025 Valencia, Co. Kerry",665,654,334,320,-11,-1.7
 ,"Dingle rural area, Co. Kerry",9649,9690,4783,4907,41,0.4
 ,"026 Ballinvoher, Co. Kerry",530,558,280,278,28,5.3
 ,"027 An Baile Dubh, Co. Kerry",131,107,57,50,-24,-18.3
 ,"028 Ballynacourty, Co. Kerry",274,284,150,134,10,3.6
 ,"029 Cé Bhréanainn, Co. Kerry",152,153,76,77,1,0.7
 ,"030 Castlegregory, Co. Kerry",923,981,485,496,58,6.3
 ,"031 An Clochán, Co. Kerry",297,231,115,116,-66,-22.2
 ,"032 Deelis, Co. Kerry",339,350,171,179,11,3.2
 ,"033 An Daingean, Co. Kerry",1538,1621,757,864,83,5.4
 ,"034 Dún Chaoin, Co. Kerry",176,184,88,96,8,4.5
 ,"035 Dún Urlann, Co. Kerry",438,464,238,226,26,5.9
 ,"036 Na Gleannta, Co. Kerry",1823,1826,854,972,3,0.2
 ,"037 Inch, Co. Kerry",151,139,67,72,-12,-7.9
 ,"038 Cill Maoilchéadair, Co. Kerry",479,481,265,216,2,0.4
 ,"039 Cill Chuáin, Co. Kerry",443,433,216,217,-10,-2.3
 ,"040 Cinn Aird, Co. Kerry",357,345,190,155,-12,-3.4
 ,"041 Lack, Co. Kerry",312,270,138,132,-42,-13.5
 ,"042 Márthain, Co. Kerry",246,260,130,130,14,5.7
 ,"043 An Mhin Aird, Co. Kerry",388,369,191,178,-19,-4.9
 ,"044 An Sráidbhaile, Co. Kerry",229,240,119,121,11,4.8
 ,"045 Ceann Trá, Co. Kerry",423,394,196,198,-29,-6.9
 ,"Kenmare rural area, Co. Kerry",7449,7839,3913,3926,390,5.2
 ,"046 Ardea, Co. Kerry",205,181,89,92,-24,-11.7
 ,"047 Banawn, Co. Kerry",222,234,127,107,12,5.4
 ,"048 Cappagh, Co. Kerry",367,411,210,201,44,12
 ,"049 Castlecove, Co. Kerry",319,303,163,140,-16,-5
 ,"050 Dawros, Co. Kerry",551,581,298,283,30,5.4
 ,"051 Dromore, Co. Kerry",269,281,126,155,12,4.5
 ,"052 Glanlee, Co. Kerry",195,171,87,84,-24,-12.3
 ,"053 Glanlough, Co. Kerry",164,131,67,64,-33,-20.1
 ,"054 Glanmore, Co. Kerry",269,229,110,119,-40,-14.9
 ,"055 Greenane, Co. Kerry",246,237,119,118,-9,-3.7
 ,"056 Kenmare, Co. Kerry",2912,3161,1520,1641,249,8.6
 ,"057 Kilgarvan, Co. Kerry",665,662,342,320,-3,-0.5
 ,"058 Loughbrin, Co. Kerry",163,146,78,68,-17,-10.4
 ,"059 Reen, Co. Kerry",135,147,80,67,12,8.9
 ,"060 Sneem, Co. Kerry",557,786,406,380,229,41.1
 ,"061 Tahilla, Co. Kerry",210,178,91,87,-32,-15.2
 ,"Killarney rural area, Co. Kerry",31108,32115,16041,16074,1007,3.2
 ,"062 Aghadoe, Co. Kerry",872,855,427,428,-17,-1.9
 ,"063 Aglish, Co. Kerry",435,428,218,210,-7,-1.6
 ,"064 Ballyhar, Co. Kerry",180,184,89,95,4,2.2
 ,"065 Brewsterfield, Co. Kerry",791,769,389,380,-22,-2.8
 ,"066 Caragh, Co. Kerry",881,947,478,469,66,7.5
 ,"067 Churchtown, Co. Kerry",518,480,241,239,-38,-7.3
 ,"068 Clydagh, Co. Kerry",128,118,62,56,-10,-7.8
 ,"069 Coolies, Co. Kerry",811,826,402,424,15,1.8
 ,"070 Coom, Co. Kerry",1983,1969,1011,958,-14,-0.7
 ,"071 Curraghmore, Co. Kerry",327,323,162,161,-4,-1.2
 ,"072 Currans, Co. Kerry",283,271,143,128,-12,-4.2
 ,"073 Doocarrig, Co. Kerry",598,668,332,336,70,11.7
 ,"074 Dromin, Co. Kerry",764,798,397,401,34,4.5
 ,"075 Dunloe, Co. Kerry",759,850,420,430,91,12
 ,"076 Flesk, Co. Kerry",402,396,206,190,-6,-1.5
 ,"077 Headfort, Co. Kerry",698,769,410,359,71,10.2
 ,"078 Kilbonane, Co. Kerry",570,597,303,294,27,4.7
 ,"079 Kilcummin, Co. Kerry",2026,2108,1045,1063,82,4
 ,"080 Kilfelim, Co. Kerry",244,246,118,128,2,0.8
 ,"081 Kilgobnet, Co. Kerry",877,870,451,419,-7,-0.8
 ,"082 Killarney Rural (Part Rural), Co. Kerry",3596,3775,1887,1888,179,5
 ,"083 Killeentierna, Co. Kerry",913,878,450,428,-35,-3.8
 ,"084 Killorglin, Co. Kerry",4185,4373,2131,2242,188,4.5
 ,"085 Kilnanare, Co. Kerry",1011,995,481,514,-16,-1.6
 ,"086 Knocknahoe, Co. Kerry",302,319,168,151,17,5.6
 ,"087 Lahard, Co. Kerry",709,748,377,371,39,5.5
 ,"088 Milltown, Co. Kerry",1939,2142,1032,1110,203,10.5
 ,"089 Molahiffe, Co. Kerry",1490,1572,782,790,82,5.5
 ,"090 Muckross (Part Rural), Co. Kerry",571,592,279,313,21,3.7
 ,"091 Rathmore, Co. Kerry",1838,1809,929,880,-29,-1.6
 ,"092 Rockfield, Co. Kerry",407,440,221,219,33,8.1
 ,"Listowel rural area, Co. Kerry",20528,20220,10239,9981,-308,-1.5
 ,"093 Ardagh, Co. Kerry",710,680,387,293,-30,-4.2
 ,"094 Astee, Co. Kerry",481,482,236,246,1,0.2
 ,"095 Ballincloher, Co. Kerry",460,453,220,233,-7,-1.5
 ,"096 Ballyconry, Co. Kerry",442,417,218,199,-25,-5.7
 ,"097 Ballyduff, Co. Kerry",868,841,429,412,-27,-3.1
 ,"098 Ballyegan, Co. Kerry",105,115,58,57,10,9.5
 ,"099 Ballyhorgan, Co. Kerry",423,424,216,208,1,0.2
 ,"100 Beal, Co. Kerry",162,144,70,74,-18,-11.1
 ,"101 Carrig, Co. Kerry",397,350,165,185,-47,-11.8
 ,"102 Causeway, Co. Kerry",647,646,332,314,-1,-0.2
 ,"103 Cloontubbrid, Co. Kerry",335,322,166,156,-13,-3.9
 ,"104 Drommartin, Co. Kerry",519,529,279,250,10,1.9
 ,"105 Duagh, Co. Kerry",512,532,276,256,20,3.9
 ,"106 Ennismore, Co. Kerry",612,569,282,287,-43,-7
 ,"107 Gullane, Co. Kerry",247,249,137,112,2,0.8
 ,"108 Gunsborough, Co. Kerry",365,377,190,187,12,3.3
 ,"109 Kilfeighny, Co. Kerry",944,947,478,469,3,0.3
 ,"110 Killehenny, Co. Kerry",1804,1873,912,961,69,3.8
 ,"111 Killury, Co. Kerry",542,500,250,250,-42,-7.7
 ,"112 Kilmeany, Co. Kerry",771,698,354,344,-73,-9.5
 ,"113 Kilshenane, Co. Kerry",255,226,117,109,-29,-11.4
 ,"114 Kiltomy, Co. Kerry",445,425,218,207,-20,-4.5
 ,"115 Leitrim, Co. Kerry",512,544,278,266,32,6.3
 ,"116 Lislaughtin, Co. Kerry",627,589,296,293,-38,-6.1
 ,"117 Lisselton, Co. Kerry",353,369,184,185,16,4.5
 ,"118 Listowel Rural, Co. Kerry",1567,1589,786,803,22,1.4
 ,"119 Lixnaw, Co. Kerry",1016,1056,514,542,40,3.9
 ,"120 Moynsha, Co. Kerry",513,514,266,248,1,0.2
 ,"121 Newtownsandes, Co. Kerry",1072,1004,526,478,-68,-6.3
 ,"122 Rathea, Co. Kerry",421,414,206,208,-7,-1.7
 ,"123 Shronowen, Co. Kerry",239,236,122,114,-3,-1.3
 ,"124 Tarbert, Co. Kerry",779,764,394,370,-15,-1.9
 ,"125 Tarmon, Co. Kerry",521,476,244,232,-45,-8.6
 ,"126 Trienearagh, Co. Kerry",493,488,253,235,-5,-1
 ,"127 Urlee, Co. Kerry",369,378,180,198,9,2.4
 ,"Tralee rural area, Co. Kerry",30253,29884,14944,14940,-369,-1.2
 ,"128 Abbeydorney, Co. Kerry",1184,1142,574,568,-42,-3.5
 ,"129 Arabela, Co. Kerry",1290,1381,689,692,91,7.1
 ,"130 Ardfert, Co. Kerry",997,960,457,503,-37,-3.7
 ,"131 Ballyegan, Co. Kerry",374,383,179,204,9,2.4
 ,"132 Ballyheige, Co. Kerry",1412,1489,733,756,77,5.5
 ,"133 Ballynahaglish, Co. Kerry",1600,1604,804,800,4,0.3
 ,"134 Ballynorig, Co. Kerry",512,511,260,251,-1,-0.2
 ,"135 Ballyseedy, Co. Kerry",1739,1818,885,933,79,4.5
 ,"136 Banna, Co. Kerry",714,721,366,355,7,1
 ,"137 Baurtregaum, Co. Kerry",431,379,198,181,-52,-12.1
 ,"138 Blennerville (Part Rural), Co. Kerry",557,515,258,257,-42,-7.5
 ,"139 Boolteens, Co. Kerry",478,477,234,243,-1,-0.2
 ,"140 Brosna, Co. Kerry",756,697,355,342,-59,-7.8
 ,"141 Carker, Co. Kerry",434,416,212,204,-18,-4.1
 ,"142 Castleisland, Co. Kerry",3426,3329,1633,1696,-97,-2.8
 ,"143 Clogherbrien, Co. Kerry",1645,1481,757,724,-164,-10
 ,"144 Cordal, Co. Kerry",283,278,138,140,-5,-1.8
 ,"145 Crinny, Co. Kerry",325,288,151,137,-37,-11.4
 ,"146 Derreen, Co. Kerry",193,189,96,93,-4,-2.1
 ,"147 Doon, Co. Kerry",695,692,353,339,-3,-0.4
 ,"148 Gneeves, Co. Kerry",365,368,201,167,3,0.8
 ,"149 Kerryhead, Co. Kerry",617,578,315,263,-39,-6.3
 ,"150 Kilflyn, Co. Kerry",264,251,125,126,-13,-4.9
 ,"151 Kilgarrylander, Co. Kerry",666,631,314,317,-35,-5.3
 ,"152 Kilgobban, Co. Kerry",293,272,136,136,-21,-7.2
 ,"153 Killahan, Co. Kerry",335,361,176,185,26,7.8
 ,"154 Kilmurry, Co. Kerry",326,289,152,137,-37,-11.3
 ,"155 Kiltallagh, Co. Kerry",568,565,299,266,-3,-0.5
 ,"156 Knockglass, Co. Kerry",334,353,164,189,19,5.7
 ,"157 Knocknagashel, Co. Kerry",697,706,364,342,9,1.3
 ,"158 Lackabaun, Co. Kerry",454,435,228,207,-19,-4.2
 ,"159 Millbrook, Co. Kerry",451,456,237,219,5,1.1
 ,"160 Mount Eagle, Co. Kerry",171,178,89,89,7,4.1
 ,"161 Nohaval, Co. Kerry",374,353,192,161,-21,-5.6
 ,"162 O'Brennan, Co. Kerry",508,495,246,249,-13,-2.6
 ,"163 Ratass, Co. Kerry",1092,1075,529,546,-17,-1.6
 ,"164 Scartaglin, Co. Kerry",662,698,351,347,36,5.4
 ,"165 Tralee Rural (Part Rural), Co. Kerry",2214,2274,1090,1184,60,2.7
 ,"166 Tubrid, Co. Kerry",817,796,404,392,-21,-2.6
 ,Limerick,191809,195175,97377,97798,3366,1.8
 ,Limerick City,57106,58319,28639,29680,1213,2.1
 ,"001 Abbey A, Limerick City",4678,4613,2135,2478,-65,-1.4
 ,"002 Abbey B, Limerick City",2497,2633,1261,1372,136,5.4
 ,"003 Abbey C, Limerick City",509,556,301,255,47,9.2
 ,"004 Abbey D, Limerick City",1456,1514,719,795,58,4
 ,"005 Ballinacurra A, Limerick City",2137,1957,916,1041,-180,-8.4
 ,"006 Ballinacurra B, Limerick City",1375,1365,635,730,-10,-0.7
 ,"007 Ballynanty, Limerick City",2918,2879,1385,1494,-39,-1.3
 ,"008 Castle A, Limerick City",1157,1138,522,616,-19,-1.6
 ,"009 Castle B, Limerick City",508,458,211,247,-50,-9.8
 ,"010 Castle C, Limerick City",1171,1242,609,633,71,6.1
 ,"011 Castle D, Limerick City",2155,2085,995,1090,-70,-3.2
 ,"012 Coolraine, Limerick City",1625,1572,753,819,-53,-3.3
 ,"013 Custom House, Limerick City",570,682,387,295,112,19.6
 ,"014 Dock A, Limerick City",1799,2317,1325,992,518,28.8
 ,"015 Dock B, Limerick City",1080,1084,576,508,4,0.4
 ,"016 Dock C, Limerick City",1028,983,468,515,-45,-4.4
 ,"017 Dock D, Limerick City",872,773,381,392,-99,-11.4
 ,"018 Farranshone, Limerick City",948,952,450,502,4,0.4
 ,"019 Galvone A, Limerick City",1467,1489,711,778,22,1.5
 ,"020 Galvone B, Limerick City",878,660,314,346,-218,-24.8
 ,"021 Glentworth A, Limerick City",498,554,291,263,56,11.2
 ,"022 Glentworth B, Limerick City",1169,1190,550,640,21,1.8
 ,"023 Glentworth C, Limerick City",524,501,257,244,-23,-4.4
 ,"024 John's A, Limerick City",863,764,391,373,-99,-11.5
 ,"025 John's B, Limerick City",976,958,450,508,-18,-1.8
 ,"026 John's C, Limerick City",368,459,232,227,91,24.7
 ,"027 Killeely A, Limerick City",1445,1446,677,769,1,0.1
 ,"028 Killeely B, Limerick City",810,822,390,432,12,1.5
 ,"029 Market, Limerick City",1755,1965,1021,944,210,12
 ,"030 Prospect A, Limerick City",1039,1132,462,670,93,9
 ,"031 Prospect B, Limerick City",751,713,363,350,-38,-5.1
 ,"032 Rathbane, Limerick City",1567,1586,726,860,19,1.2
 ,"033 St. Laurence, Limerick City",1116,965,590,375,-151,-13.5
 ,"034 Shannon A, Limerick City",704,977,527,450,273,38.8
 ,"035 Shannon B, Limerick City",662,931,577,354,269,40.6
 ,"036 Singland A, Limerick City",1677,1663,797,866,-14,-0.8
 ,"037 Singland B, Limerick City",3869,3876,1937,1939,7,0.2
 ,"065 Limerick North Rural, Limerick City",6485,6865,3347,3518,380,5.9
 ,Limerick County,134703,136856,68738,68118,2153,1.6
 ,"Croom rural area, Co. Limerick",12671,12671,6383,6288,0,0
 ,"001 Abbeyville, Co. Limerick",344,352,172,180,8,2.3
 ,"002 Adare North, Co. Limerick",622,583,292,291,-39,-6.3
 ,"003 Adare South, Co. Limerick",2028,2026,1003,1023,-2,-0.1
 ,"004 Ballingarry, Co. Limerick",930,936,461,475,6,0.6
 ,"005 Ballyagran, Co. Limerick",507,493,256,237,-14,-2.8
 ,"006 Ballygrennan, Co. Limerick",320,302,156,146,-18,-5.6
 ,"007 Ballynabanoge, Co. Limerick",330,326,168,158,-4,-1.2
 ,"008 Ballynoe, Co. Limerick",452,464,230,234,12,2.7
 ,"009 Castletown, Co. Limerick",370,368,186,182,-2,-0.5
 ,"010 Coolrus, Co. Limerick",408,411,215,196,3,0.7
 ,"011 Crean, Co. Limerick",403,411,206,205,8,2
 ,"012 Crecora, Co. Limerick",443,425,210,215,-18,-4.1
 ,"013 Croom, Co. Limerick",1690,1690,867,823,0,0
 ,"014 Dunnaman, Co. Limerick",686,693,345,348,7,1
 ,"015 Fedamore, Co. Limerick",1222,1258,631,627,36,2.9
 ,"016 Garrane, Co. Limerick",294,294,150,144,0,0
 ,"017 Grange, Co. Limerick",524,536,259,277,12,2.3
 ,"018 Kilfinny, Co. Limerick",270,278,146,132,8,3
 ,"019 Kilpeacon, Co. Limerick",539,527,283,244,-12,-2.2
 ,"020 Rathmore, Co. Limerick",289,298,147,151,9,3.1
 ,"Glin rural area, Co. Limerick",2287,2205,1167,1038,-82,-3.6
 ,"021 Fleanmore, Co. Limerick",213,217,109,108,4,1.9
 ,"022 Glin, Co. Limerick",1195,1170,608,562,-25,-2.1
 ,"023 Kilfergus, Co. Limerick",448,418,226,192,-30,-6.7
 ,"024 Kilmoylan, Co. Limerick",431,400,224,176,-31,-7.2
 ,"Kilmallock rural area, Co. Limerick",16860,16895,8592,8303,35,0.2
 ,"025 Ardpatrick, Co. Limerick",388,381,196,185,-7,-1.8
 ,"026 Athlacca, Co. Limerick",407,383,189,194,-24,-5.9
 ,"027 Ballymacshaneboy, Co. Limerick",476,491,263,228,15,3.2
 ,"028 Bruff, Co. Limerick",1386,1417,712,705,31,2.2
 ,"029 Bruree, Co. Limerick",1159,1196,621,575,37,3.2
 ,"030 Bulgaden, Co. Limerick",346,338,179,159,-8,-2.3
 ,"031 Cahercorney, Co. Limerick",722,733,369,364,11,1.5
 ,"032 Colmanswell, Co. Limerick",540,547,280,267,7,1.3
 ,"033 Darragh, Co. Limerick",316,308,165,143,-8,-2.5
 ,"034 Dromin, Co. Limerick",562,558,286,272,-4,-0.7
 ,"035 Emlygrennan, Co. Limerick",748,755,382,373,7,0.9
